,positive,negative
AR,0.38141465719933,
C17orf53,,-0.43163688217747054
C17orf70,0.48704426798641903,
CCAR1,0.3779800927866094,
CCND2,,-0.4199492946311147
CHAF1A,,-0.3988377064485197
CHRAC1,,-0.440388220268767
COPS3,,-0.39240281032573837
DAXX,0.39860905416814835,
ESR1,1.001641686165813,
EXO1,0.42506046612502163,
FANCE,,-0.4645518810792601
GRB2,0.5085368216527164,
IDH1,,-0.4245224401990672
LEO1,0.5887592496848525,
MCM10,0.36440293353292347,
MLH3,,-0.39819009332444943
NBN,0.360900979159651,
NOP10,,-0.42654140787415545
NSD1,0.43983323040220995,
PIAS4,0.5833459161058335,
PITPNM1,,-0.5636253752677534
PPP4R1,,-0.664748646771024
PPP6C,0.5143796630541356,
RAD18,0.3759588951504021,
RAD21,0.855850992547963,
RASSF7,,-0.44648397605668955
REV3L,,-0.40731864352935165
RREB1,,-0.398731745868166
RUNX1,0.8906332998284718,
RUVBL1,,-0.48103703108229456
SETMAR,0.6242280177266669,
SMARCD1,,-0.48433203790942775
SOX9,0.5008335266397373,
STAG2,,-0.4950216252414514
TADA2B,0.43431155581696523,
TDP2,,-0.40513176699988085
TERF1,,-0.394339180396666
TP73,,-0.4476234211880685
UNG,0.44047689629192677,
